Column1;Column2
CentrosPublicosESO;2
CentrosPublicosPrimaria;5
CentrosPublicosSecundaria;8
CentrosPublicosBachillerato;2
CentrosPublicosGradoMedio;2
CentrosPublicosGradoSuperior;2
CentrosPublicosSecundariaAdultos;1
CentrosPrivadosConcertadosPrimaria;3
CentrosPrivadosConcertadosESO;3
CentrosPrivadosConcertadosBachillerato;0
CentrosPrivadosConcertadosGradoMedio;0
CentrosPrivadosConcertadosGradoSuperior;0
CentrosPrivadosNoConcertadosPrimaria;0
CentrosPrivadosNoConcertadosESO;0
CentrosPrivadosNoConcertadosBachillerato;0
CentrosPrivadosNoConcertadosGradoMedio;1
CentrosPrivadosNoConcertadosGradoSuperior;0
CentrosExtranjerosPrimaria;0
CentrosExtranjerosESO;0
CentrosExtranjerosBachillerato;0
